Isolate Name	GISAID Accession	Site	Clade	No. of Reads	IAV Reads	PCR Ct	Collection Date
A/Kenya/CDC-Nakuru/018/2014_05-May-2014	EPI_ISL_421533	Nakuru	6B	"576,740"	"393,795"	22.5	05/05/2014
A/Kenya/CDC-Nakuru/019/2014_28-May-2014	EPI_ISL_421534	Nakuru	6B	"296,433"	"112,500"	21.2	28/05/2014
A/Kenya/CDC-Nakuru/020/2014_03-Jun-2014	EPI_ISL_421535	Nakuru	6B	"534,806"	"347,332"	21	03/06/2014
A/Kenya/CDC-Nakuru/021/2014_11-Jun-2014	EPI_ISL_421536	Nakuru	6B	"257,203"	"12,831"	23.13	11/06/2014
A/Kenya/CDC-Nakuru/022/2014_18-Jun-2014	EPI_ISL_421537	Nakuru	6B	"740,135"	"537,318"	18.2	18/06/2014
A/Kenya/CDC-Nakuru/023/2014_23-Jun-2014	EPI_ISL_421538	Nakuru	6B	"349,425"	"230,576"	21	23/06/2014
A/Kenya/CDC-Nakuru/024/2014_30-Jun-2014	EPI_ISL_421339	Nakuru	6B	"489,810"	"344,759"	23.7	30/06/2014
A/Kenya/CDC-Nakuru/025/2014_01-Jul-2014	EPI_ISL_421540	Nakuru	6B	"359,707"	"22,099"	22.7	01/07/2014
A/Kenya/CDC-Nakuru/026/2014_02-Jul-2014	EPI_ISL_421541	Nakuru	6B	"487,811"	"307,039"	29.2	02/07/2014
A/Kenya/CDC-Nakuru/027/2014_09-Jul-2014	EPI_ISL_421542	Nakuru	6B	"354,921"	"301,049"	25.23	09/07/2014
A/Kenya/CDC-Nakuru/028/2014_14-Jul-2014	EPI_ISL_421555	Nakuru	6B	"439,664"	"385,973"	21.58	14/07/2014
A/Kenya/CDC-Nakuru/029/2014_15-Jul-2014	EPI_ISL_421556	Nakuru	6B	"375,662"	"178,254"	25.6	15/07/2014
A/Kenya/CDC-Nakuru/030/2014_21-Jul-2014	EPI_ISL_421557	Nakuru	6B	"410,708"	"117,211"	24.4	21/07/2014
A/Kenya/CDC-Nakuru/031/2014_22-Jul-2014	EPI_ISL_421558	Nakuru	6B	"396,869"	"262,004"	20.86	22/07/2014
A/Kenya/CDC-Nakuru/032/2015_27-Apr-2015	EPI_ISL_421559	Nakuru	6B.1	"449,900"	"166,848"	23.49	27/04/2015
A/Kenya/CDC-Nakuru/034/2015_20-Jul-2015	EPI_ISL_421564	Nakuru	6B.1	"467,881"	"109,317"	24.55	20/07/2015
A/Kenya/CDC-Nakuru/037/2015_28-Jul-2015	EPI_ISL_421565	Nakuru	6B.1	"360,552"	"303,957"	23.8	28/07/2015
A/Kenya/CDC-Nakuru/039/2015_03-Aug-2015	EPI_ISL_421566	Nakuru	6B.1	"695,550"	"623,746"	25.5	03/08/2015
A/Kenya/CDC-Nakuru/040/2015_05-Aug-2015	EPI_ISL_421567	Nakuru	6B.1	"348,475"	"311,170"	17.4	05/08/2015
A/Kenya/CDC-Nakuru/041/2015_05-Aug-2015	EPI_ISL_421568	Nakuru	6B.1	"445,802"	"360,430"	26.6	05/08/2015
A/Kenya/CDC-Nakuru/042/2015_10-Aug-2015	EPI_ISL_421569	Nakuru	6B.1	"238,086"	"197,175"	25.4	10/08/2015
A/Kenya/CDC-Nakuru/043/2015_18-Aug-2015	EPI_ISL_421570	Nakuru	6B.1	"395,520"	"270,678"	26.3	18/08/2015
A/Kenya/CDC-Nakuru/044/2015_11-Nov-2015	EPI_ISL_421571	Nakuru	6B.1	"231,569"	"90,709"	25.8	11/11/2015
A/Kenya/CDC-Nakuru/045/2016_15-Feb-2016	EPI_ISL_421657	Nakuru	6B.1	"605,757"	"493,016"	23.97	15/02/2016
A/Kenya/CDC-Nakuru/046/2016_02-Apr-2016	EPI_ISL_421658	Nakuru	6B.1	"865,073"	"700,744"	21.99	02/04/2016
A/Kenya/CDC-Nakuru/047/2016_30-Mar-2016	EPI_ISL_421659	Nakuru	6B.1	"604,254"	"521,496"	17.2	30/03/2016
A/Kenya/CDC-Nakuru/050/2016_06-Apr-2016	EPI_ISL_421661	Nakuru	6B.1	"684,147"	"610,152"	25.4	06/04/2016
A/Kenya/CDC-Nakuru/051/2016_08-Apr-2016	EPI_ISL_421673	Nakuru	6B.1	"567,374"	"450,818"	22.8	08/04/2016
A/Kenya/CDC-Nakuru/052/2016_13-Apr-2016	EPI_ISL_421674	Nakuru	6B.1	"359,934"	"22,170"	25.8	13/04/2016
A/Kenya/CDC-Nakuru/054/2010_11-Aug-2010	EPI_ISL_421676	Nakuru	7	"317,922"	"144,366"	18.9	11/08/2010
A/Kenya/CDC-Nakuru/055/2010_11-Aug-2010	EPI_ISL_421677	Nakuru	7	"414,528"	"367,359"	20.98	11/08/2010
A/Kenya/CDC-Nakuru/056/2010_12-Oct-2010	EPI_ISL_421678	Nakuru	6	"325,213"	"176,771"	24.3	12/10/2010
A/Kenya/CDC-Nakuru/058/2010_18-Oct-2010	EPI_ISL_421679	Nakuru	6	"306,288"	"227,581"	26.52	18/10/2010
A/Kenya/CDC-Nakuru/060/2010_25-Oct-2010	EPI_ISL_421680	Nakuru	6	"433,497"	"257,779"	22.13	25/10/2010
A/Kenya/CDC-Nakuru/061/2010_29-Oct-2010	EPI_ISL_421681	Nakuru	6	"377,727"	"171,987"	23.76	29/10/2010
A/Kenya/CDC-Nakuru/062/2010_23-Jul-2010	EPI_ISL_421682	Nakuru	7	"393,022"	"305,512"	23	23/07/2010
A/Kenya/CDC-Nakuru/063/2010_05-Nov-2010	EPI_ISL_421693	Nakuru	6	"442,725"	"361,079"	25.99	05/11/2010
A/Kenya/CDC-Nakuru/065/2010_12-Oct-2010	EPI_ISL_421694	Nakuru	6	"297,710"	"178,654"	23.05	12/10/2010
A/Kenya/CDC-Nakuru/067/2010_12-Oct-2010	EPI_ISL_421695	Nakuru	6	"362,506"	"305,527"	25.68	12/10/2010
A/Kenya/CDC-Nakuru/068/2010_15-Oct-2010	EPI_ISL_421696	Nakuru	6	"482,688"	"403,114"	19.59	15/10/2010
A/Kenya/CDC-Nakuru/069/2010_17-Nov-2010	EPI_ISL_421697	Nakuru	6	"505,039"	"327,212"	25.56	17/11/2010
A/Kenya/CDC-Nakuru/071/2010_24-Nov-2010	EPI_ISL_421698	Nakuru	6	"481,856"	"443,359"	24.63	24/11/2010
A/Kenya/CDC-Nakuru/072/2010_24-Nov-2010	EPI_ISL_421699	Nakuru	7	"362,328"	"113,065"	23.28	24/11/2010
A/Kenya/CDC-Nakuru/073/2010_25-Nov-2010	EPI_ISL_421700	Nakuru	7	"200,394"	"70,325"	29.22	25/11/2010
A/Kenya/CDC-Nakuru/074/2010_25-Nov-2010	EPI_ISL_421701	Nakuru	6	"275,763"	"21,602"	25.37	25/11/2010
A/Kenya/CDC-Nakuru/076/2010_01-Dec-2010	EPI_ISL_421702	Nakuru	7	"503,775"	"210,290"	26.94	01/12/2010
A/Kenya/CDC-Nakuru/077/2010_02-Dec-2010	EPI_ISL_421703	Nakuru	7	"366,783"	"200,568"	28.05	02/12/2010
A/Kenya/CDC-Nakuru/078/2009_28-Oct-2009	EPI_ISL_421764	Nakuru	7	"416,485"	"282,773"	18.6	28/10/2009
A/Kenya/CDC-Nakuru/079/2009_29-Oct-2009	EPI_ISL_421765	Nakuru	7	"280,671"	"188,073"	24.02	29/10/2009
A/Kenya/CDC-Nakuru/080/2009_02-Nov-2009	EPI_ISL_421766	Nakuru	7	"352,235"	"285,019"	24.7	02/11/2009
A/Kenya/CDC-Nakuru/081/2009_03-Nov-2009	EPI_ISL_421767	Nakuru	7	"377,915"	"319,787"	17.1	03/11/2009
A/Kenya/CDC-Nakuru/083/2009_26-Oct-2009	EPI_ISL_421950	Nakuru	7	"265,629"	"181,183"	21.6	26/10/2009
A/Kenya/CDC-Nakuru/084/2009_04-Nov-2009	EPI_ISL_422013	Nakuru	7	"236,068"	"189,672"	20.8	04/11/2009
A/Kenya/CDC-Nakuru/086/2009_06-Nov-2009	EPI_ISL_422014	Nakuru	7	"261,635"	"222,463"	21.8	06/11/2009
A/Kenya/CDC-Nakuru/087/2009_09-Nov-2009	EPI_ISL_422015	Nakuru	7	"409,263"	"355,435"	18.7	09/11/2009
A/Kenya/CDC-Nakuru/088/2009_10-Nov-2009	EPI_ISL_422101	Nakuru	7	"435,204"	"373,874"	19.4	10/11/2009
A/Kenya/CDC-Nakuru/089/2009_10-Nov-2009	EPI_ISL_422367	Nakuru	7	"310,712"	"233,112"	22.2	10/11/2009
A/Kenya/CDC-Nakuru/090/2009_10-Nov-2009	EPI_ISL_422378	Nakuru	7	"331,088"	"178,755"	21.7	10/11/2009
A/Kenya/CDC-Nakuru/091/2009_13-Nov-2009	EPI_ISL_422379	Nakuru	7	"210,474"	"84,637"	21.5	13/11/2009
A/Kenya/CDC-Nakuru/093/2009_16-Nov-2009	EPI_ISL_422380	Nakuru	7	"260,183"	"76,832"	20.4	16/11/2009
A/Kenya/CDC-Nakuru/094/2009_17-Nov-2009	EPI_ISL_422381	Nakuru	7	"275,244"	"204,809"	21.7	17/11/2009
A/Kenya/CDC-Nakuru/095/2011_24-Mar-2011	EPI_ISL_422452	Nakuru	6	"188,229"	"74,027"	21.29	24/03/2011
A/Kenya/CDC-Nakuru/096/2011_24-Nov-2011	EPI_ISL_422454	Nakuru	6	"248,482"	"119,169"	29	24/11/2011
A/Kenya/CDC-Nakuru/097/2011_24-Nov-2011	EPI_ISL_422455	Nakuru	6	"334,834"	"276,076"	30.5	24/11/2011
A/Kenya/CDC-Nakuru/098/2011_27-Jun-2011	EPI_ISL_422456	Nakuru	6	"328,150"	"174,718"	26.79	27/06/2011
A/Kenya/CDC-Nakuru/099/2011_28-Jun-2011	EPI_ISL_422457	Nakuru	6	"253,837"	"146,841"	19.9	28/06/2011
A/Kenya/CDC-Nakuru/100/2011_11-Jul-2011	EPI_ISL_422458	Nakuru	6	"194,350"	"7,890"	27	11/07/2011
A/Kenya/CDC-Nakuru/103/2011_22-Mar-2011	EPI_ISL_422460	Nakuru	6	"331,464"	"289,809"	24.72	22/03/2011
A/Kenya/CDC-Nakuru/104/2011_05-Apr-2011	EPI_ISL_422466	Nakuru	6	"763,464"	"712,514"	17.5	05/04/2011
A/Kenya/CDC-Nakuru/105/2011_20-Jun-2011	EPI_ISL_422467	Nakuru	6	"339,321"	"217,897"	21.48	20/06/2011
A/Kenya/CDC-Nakuru/106/2011_27-Jun-2011	EPI_ISL_422468	Nakuru	6	"454,344"	"327,687"	21.7	27/06/2011
A/Kenya/CDC-Nakuru/107/2011_28-Jun-2011	EPI_ISL_422469	Nakuru	6	"454,061"	"389,001"	17.37	28/06/2011
A/Kenya/CDC-Nakuru/110/2011_18-Oct-2011	EPI_ISL_422470	Nakuru	7	"429,964"	"371,238"	20.6	18/10/2011
A/Kenya/CDC-Nakuru/112/2011_18-Nov-2011	EPI_ISL_422471	Nakuru	6	"451,047"	"374,721"	19.1	18/11/2011
A/Kenya/CDC-Nakuru/001/2018_23-Apr-2018	EPI_ISL_422472	Nakuru	6B.1A	"294,829"	"159,849"	23.2	23/04/2018
A/Kenya/CDC-Nakuru/002/2018_24-Jul-2018	EPI_ISL_422473	Nakuru	6B.1A	"327,716"	"178,329"	29.94	24/07/2018
A/Kenya/CDC-Nakuru/003/2018_13-Mar-2018	EPI_ISL_422474	Nakuru	6B.1A	"366,650"	"256,545"	26.22	13/03/2018
A/Kenya/CDC-Nakuru/004/2018_03-Apr-2018	EPI_ISL_422475	Nakuru	6B.1A	"199,097"	"134,067"	23.1	03/04/2018
A/Kenya/CDC-Nakuru/005/2018_03-Apr-2018	EPI_ISL_422476	Nakuru	6B.1A	"309,325"	"162,079"	22.6	03/04/2018
A/Kenya/CDC-Nakuru/006/2018_03-Apr-2018	EPI_ISL_422477	Nakuru	6B.1A	"525,695"	"191,036"	24.7	03/04/2018
A/Kenya/CDC-Nakuru/010/2018_11-Jun-2018	EPI_ISL_422478	Nakuru	6B.1A	"221,586"	"159,411"	29.92	11/06/2018
A/Kenya/CDC-Nakuru/011/2018_30-Jul-2018	EPI_ISL_422479	Nakuru	6B.1A	"178,665"	"5,425"	32.82	30/07/2018
A/Kenya/CDC-Nakuru/012/2018_27-Jun-2018	EPI_ISL_422480	Nakuru	6B.1A	"293,737"	"20,318"	29.71	27/06/2018
A/Kenya/CDC-Nakuru/013/2018_21-May-2018	EPI_ISL_422481	Nakuru	6B.1A	"429,890"	"308,684"	24.8	21/05/2018
A/Kenya/CDC-Nakuru/014/2018_11-Apr-2018	EPI_ISL_422482	Nakuru	6B.1A	"264,748"	"133,709"	25.2	11/04/2018
A/Kenya/CDC-Nakuru/016/2018_18-Jul-2018	EPI_ISL_422483	Nakuru	6B.1A	"299,643"	"214,617"	33.61	18/07/2018
A/Kenya/CDC-Nakuru/018/2018_05-Mar-2018	EPI_ISL_422484	Nakuru	6B.1A	"228,310"	"127,356"	21.5	05/03/2018
A/Kenya/CDC-Nakuru/019/2018_05-Mar-2018	EPI_ISL_422485	Nakuru	6B.1A	"497,738"	"366,541"	25.37	05/03/2018
A/Kenya/CDC-Nakuru/021/2018_03-Jul-2018	EPI_ISL_422486	Nakuru	6B.1A	"424,404"	"279,347"	24.33	03/07/2018
A/Kenya/CDC-Nakuru/022/2018_07-May-2018	EPI_ISL_422487	Nakuru	6B.1A	"216,098"	"13,847"	29.4	07/05/2018
A/Kenya/CDC-Nyeri/001/2009_12-Aug-2009	EPI_ISL_428733	Nyeri	7	"435,226"	"311,675"	25.9	12/08/2009
A/Kenya/CDC-Nyeri/002/2009_03-Sep-2009	EPI_ISL_428734	Nyeri	7	"369,437"	"332,785"	21.22	03/09/2009
A/Kenya/CDC-Nyeri/003/2009_03-Sep-2009	EPI_ISL_428735	Nyeri	7	"337,521"	"302,402"	23.54	03/09/2009
A/Kenya/CDC-Nyeri/004/2009_28-Sep-2009	EPI_ISL_428736	Nyeri	7	"389,988"	"326,235"	20.59	28/09/2009
A/Kenya/CDC-Nyeri/006/2009_21-Oct-2009	EPI_ISL_428737	Nyeri	7	"220,409"	"197,402"	18.3	21/10/2009
A/Kenya/CDC-Nyeri/007/2009_22-Oct-2009	EPI_ISL_428738	Nyeri	7	"333,776"	"257,906"	27.3	22/10/2009
A/Kenya/CDC-Nyeri/010/2009_04-Nov-2009	EPI_ISL_428739	Nyeri	7	"325,501"	"217,456"	24.1	04/11/2009
A/Kenya/CDC-Nyeri/011/2009_05-Nov-2009	EPI_ISL_428741	Nyeri	7	"376,182"	"336,265"	22.8	05/11/2009
A/Kenya/CDC-Nyeri/012/2009_06-Nov-2009	EPI_ISL_428742	Nyeri	7	"326,130"	"273,495"	21.7	06/11/2009
A/Kenya/CDC-Nyeri/014/2009_10-Nov-2009	EPI_ISL_428743	Nyeri	7	"340,468"	"180,346"	25.44	10/11/2009
A/Kenya/CDC-Nyeri/016/2009_13-Nov-2009	EPI_ISL_428744	Nyeri	7	"255,056"	"190,694"	25.8	13/11/2009
A/Kenya/CDC-Nyeri/017/2009_16-Nov-2009	EPI_ISL_428753	Nyeri	7	"411,801"	"248,076"	21.5	16/11/2009
A/Kenya/CDC-Nyeri/018/2009_20-Nov-2009	EPI_ISL_428754	Nyeri	7	"327,102"	"222,283"	22.43	20/11/2009
A/Kenya/CDC-Nyeri/019/2009_02-Dec-2009	EPI_ISL_428755	Nyeri	7	"291,812"	"34,172"	22.62	02/12/2009
A/Kenya/CDC-Nyeri/020/2009_09-Dec-2009	EPI_ISL_428756	Nyeri	7	"257,950"	"92,255"	24.23	09/12/2009
A/Kenya/CDC-Nyeri/021/2010_18-Jun-2010	EPI_ISL_428806	Nyeri	7	"389,613"	"326,008"	18.72	18/06/2010
A/Kenya/CDC-Nyeri/022/2010_22-Jun-2010	EPI_ISL_428807	Nyeri	7	"361,105"	"170,412"	24.88	22/06/2010
A/Kenya/CDC-Nyeri/023/2010_24-Jun-2010	EPI_ISL_428808	Nyeri	7	"325,727"	"171,080"	22.31	24/06/2010
A/Kenya/CDC-Nyeri/024/2010_09-Jul-2010	EPI_ISL_428809	Nyeri	7	"371,807"	"148,319"	20.42	09/07/2010
A/Kenya/CDC-Nyeri/025/2010_20-Jul-2010	EPI_ISL_428810	Nyeri	7	"310,207"	"99,677"	21.61	20/07/2010
A/Kenya/CDC-Nyeri/026/2010_26-Jul-2010	EPI_ISL_428811	Nyeri	7	"332,666"	"185,118"	21.33	26/07/2010
A/Kenya/CDC-Nyeri/027/2010_27-Jul-2010	EPI_ISL_428812	Nyeri	7	"288,267"	"114,315"	25	27/07/2010
A/Kenya/CDC-Nyeri/028/2010_29-Jul-2010	EPI_ISL_428813	Nyeri	7	"278,641"	"49,237"	21.3	29/07/2010
A/Kenya/CDC-Nyeri/031/2010_17-Sep-2010	EPI_ISL_428814	Nyeri	6	"227,794"	"170,469"	20.3	17/09/2010
A/Kenya/CDC-Nyeri/032/2010_18-Oct-2010	EPI_ISL_428815	Nyeri	6	"384,905"	"324,018"	21.02	18/10/2010
A/Kenya/CDC-Nyeri/033/2010_22-Oct-2010	EPI_ISL_428816	Nyeri	6	"312,191"	"280,454"	23.1	22/10/2010
A/Kenya/CDC-Nyeri/034/2010_09-Nov-2010	EPI_ISL_428817	Nyeri	6	"433,594"	"262,599"	21.59	09/11/2010
A/Kenya/CDC-Nyeri/035/2010_10-Nov-2010	EPI_ISL_428818	Nyeri	7	"405,017"	"204,824"	21.54	10/11/2010
A/Kenya/CDC-Nyeri/036/2010_15-Nov-2010	EPI_ISL_428819	Nyeri	6	"352,763"	"195,517"	22.32	15/11/2010
A/Kenya/CDC-Nyeri/037/2011_04-Jan-2011	EPI_ISL_428933	Nyeri	6	"389,528"	"217,418"	23.21	04/01/2011
A/Kenya/CDC-Nyeri/038/2011_14-Feb-2011	EPI_ISL_428934	Nyeri	6	"394,293"	"284,042"	18.52	14/02/2011
A/Kenya/CDC-Nyeri/039/2011_22-Feb-2011	EPI_ISL_428937	Nyeri	6	"1,254,603"	"455,950"	29.24	22/02/2011
A/Kenya/CDC-Nyeri/040/2011_24-Feb-2011	EPI_ISL_428938	Nyeri	6	"408,761"	"387,076"	23.57	24/02/2011
A/Kenya/CDC-Nyeri/041/2011_18-Apr-2011	EPI_ISL_428963	Nyeri	6	"457,069"	"78,486"	25.8	18/04/2011
A/Kenya/CDC-Nyeri/042/2011_06-Jul-2011	EPI_ISL_428964	Nyeri	6	"370,555"	"293,193"	24.66	06/07/2011
A/Kenya/CDC-Nyeri/044/2011_13-Jul-2011	EPI_ISL_428965	Nyeri	6	"306,626"	"260,677"	18.88	13/07/2011
A/Kenya/CDC-Nyeri/045/2011_20-Jul-2011	EPI_ISL_428966	Nyeri	6	"364,916"	"223,390"	20.98	20/07/2011
A/Kenya/CDC-Nyeri/046/2011_22-Jul-2011	EPI_ISL_428968	Nyeri	6	"343,206"	"41,227"	25.3	22/07/2011
A/Kenya/CDC-Nyeri/047/2011_29-Jul-2011	EPI_ISL_428967	Nyeri	6	"340,383"	"66,795"	22.8	29/07/2011
A/Kenya/CDC-Nyeri/062/2014_28-Apr-2014	EPI_ISL_428970	Nyeri	6B	"974,971"	"798,039"	25.09	28/04/2014
A/Kenya/CDC-Nyeri/065/2014_03-Jun-2014	EPI_ISL_428971	Nyeri	6B	"382,530"	"365,663"	28.99	03/06/2014
A/Kenya/CDC-Nyeri/066/2014_10-Jun-2014	EPI_ISL_428972	Nyeri	6B	"451,731"	"160,030"	27.22	10/06/2014
A/Kenya/CDC-Nyeri/067/2014_18-Jun-2014	EPI_ISL_428973	Nyeri	6B	"448,798"	"421,859"	27.82	18/06/2014
A/Kenya/CDC-Nyeri/071/2014_02-Jul-2014	EPI_ISL_428974	Nyeri	6B	"421,534"	"51,542"	30.4	02/07/2014
A/Kenya/CDC-Nyeri/072/2014_02-Jul-2014	EPI_ISL_428975	Nyeri	6B	"441,520"	"130,825"	33.2	02/07/2014
A/Kenya/CDC-Nyeri/074/2014_07-Jul-2014	EPI_ISL_428976	Nyeri	6B	"361,100"	"108,207"	24.28	07/07/2014
A/Kenya/CDC-Nyeri/075/2014_06-Aug-2014	EPI_ISL_428977	Nyeri	6B	"472,649"	"51,420"	31.55	06/08/2014
A/Kenya/CDC-Nyeri/077/2015_22-Jul-2015	EPI_ISL_428978	Nyeri	6B	"487,801"	"450,015"	35.09	22/07/2015
A/Kenya/CDC-Nyeri/078/2015_27-Jul-2015	EPI_ISL_428979	Nyeri	6B	"458,049"	"354,660"	25.9	27/07/2015
A/Kenya/CDC-Nyeri/080/2015_12-Aug-2015	EPI_ISL_428980	Nyeri	6B.1	"469,748"	"113,947"	23.4	12/08/2015
A/Kenya/CDC-Nyeri/081/2015_12-Aug-2015	EPI_ISL_428981	Nyeri	6B	"512,380"	"476,909"	26.7	12/08/2015
A/Kenya/CDC-Nyeri/082/2016_04-Jan-2016	EPI_ISL_428982	Nyeri	6B	"386,698"	"367,396"	31	04/01/2016
A/Kenya/CDC-Nyeri/083/2016_23-Aug-2016	EPI_ISL_428983	Nyeri	6B	"364,278"	"281,251"	23.9	23/08/2016
A/Kenya/CDC-Nyeri/084/2016_30-Aug-2016	EPI_ISL_428984	Nyeri	6B.1	"357,839"	"197,733"	23	30/08/2016
A/Kenya/CDC-Nyeri/001/2018_28-May-2018	EPI_ISL_428985	Nyeri	6B.1A	"359,216"	"267,976"	24.88	28/05/2018
A/Kenya/CDC-Nyeri/002/2018_25-Jun-2018	EPI_ISL_428986	Nyeri	6B.1A	"374,328"	"283,519"	26.91	25/06/2018
A/Kenya/CDC-Nyeri/004/2018_09-Apr-2018	EPI_ISL_428987	Nyeri	6B.1A	"445,883"	"307,349"	24.4	09/04/2018
A/Kenya/CDC-Nyeri/005/2018_18-Jun-2018	EPI_ISL_428988	Nyeri	6B.1A	"337,973"	"250,491"	22.91	18/06/2018
A/Kenya/CDC-Nyeri/008/2018_11-Jun-2018	EPI_ISL_428989	Nyeri	6B.1A	"250,712"	"192,876"	23.62	11/06/2018
A/Kenya/CDC-Siaya/001/2009_16-Nov-2009	EPI_ISL_429224	Siaya	7	"482,013"	"117,848"	30.18	16/11/2009
A/Kenya/CDC-Siaya/002/2009_07-Oct-2009	EPI_ISL_429225	Siaya	7	"580,801"	"475,818"	28.09	07/10/2009
A/Kenya/CDC-Siaya/004/2009_14-Oct-2009	EPI_ISL_429237	Siaya	7	"612,685"	"23,782"	28.28	14/10/2009
A/Kenya/CDC-Siaya/006/2009_19-Oct-2009	EPI_ISL_429238	Siaya	7	"702,636"	"18,810"	30.1	19/10/2009
A/Kenya/CDC-Siaya/007/2009_19-Oct-2009	EPI_ISL_429240	Siaya	7	"344,347"	"279,618"	21.41	19/10/2009
A/Kenya/CDC-Siaya/008/2009_18-Oct-2009	EPI_ISL_429241	Siaya	7	"488,879"	"15,495"	25.36	18/10/2009
A/Kenya/CDC-Siaya/009/2009_21-Oct-2009	EPI_ISL_429242	Siaya	7	"482,326"	"274,009"	28.88	21/10/2009
A/Kenya/CDC-Siaya/011/2009_10-Sep-2009	EPI_ISL_429243	Siaya	7	"548,392"	"502,827"	22.15	10/09/2009
A/Kenya/CDC-Siaya/012/2009_29-Sep-2009	EPI_ISL_429244	Siaya	7	"468,523"	"272,265"	25.76	29/09/2009
A/Kenya/CDC-Siaya/013/2009_30-Sep-2009	EPI_ISL_429245	Siaya	7	"451,523"	"243,549"	30.02	30/09/2009
A/Kenya/CDC-Siaya/015/2009_16-Nov-2009	EPI_ISL_429246	Siaya	7	"511,902"	"154,018"	28.5	16/11/2009
A/Kenya/CDC-Siaya/018/2010_19-Feb-2010	EPI_ISL_429247	Siaya	7	"561,527"	"282,027"	29.21	19/02/2010
A/Kenya/CDC-Siaya/019/2010_05-Nov-2010	EPI_ISL_429248	Siaya	6	"586,730"	"131,485"	27.27	05/11/2010
A/Kenya/CDC-Siaya/020/2010_16-Nov-2010	EPI_ISL_429252	Siaya	6	"684,756"	"626,658"	22.09	16/11/2010
A/Kenya/CDC-Siaya/021/2010_18-Nov-2010	EPI_ISL_429253	Siaya	6	"207,735"	"160,610"	21.82	18/11/2010
A/Kenya/CDC-Siaya/022/2010_24-Nov-2010	EPI_ISL_429260	Siaya	6	"566,375"	"171,772"	23.72	24/11/2010
A/Kenya/CDC-Siaya/023/2010_28-Nov-2010	EPI_ISL_429261	Siaya	6	"427,217"	"283,526"	23.65	28/11/2010
A/Kenya/CDC-Siaya/025/2011_25-Jan-2011	EPI_ISL_429319	Siaya	6	"457,490"	"438,053"	19.54	25/01/2011
A/Kenya/CDC-Siaya/026/2011_08-Feb-2011	EPI_ISL_429591	Siaya	6	"386,638"	"110,628"	26.07	08/02/2011
A/Kenya/CDC-Siaya/027/2011_10-Feb-2011	EPI_ISL_429592	Siaya	6	"759,471"	"31,734"	29.43	10/02/2011
A/Kenya/CDC-Siaya/028/2011_16-Feb-2011	EPI_ISL_429593	Siaya	6	"780,143"	"299,617"	23.09	16/02/2011
A/Kenya/CDC-Siaya/029/2011_15-Feb-2011	EPI_ISL_429594	Siaya	6	"732,596"	"335,112"	26.61	15/02/2011
A/Kenya/CDC-Siaya/030/2011_16-Feb-2011	EPI_ISL_429595	Siaya	6	"501,579"	"9,451"	29.74	16/02/2011
A/Kenya/CDC-Siaya/032/2011_21-Feb-2011	EPI_ISL_429596	Siaya	6	"413,310"	"114,548"	26.8	21/02/2011
A/Kenya/CDC-Siaya/033/2011_21-Feb-2011	EPI_ISL_429660	Siaya	6	"357,111"	"14,706"	28.46	21/02/2011
A/Kenya/CDC-Siaya/035/2011_28-Feb-2011	EPI_ISL_429661	Siaya	6	"482,543"	"48,385"	31.07	28/02/2011
A/Kenya/CDC-Siaya/036/2011_01-Mar-2011	EPI_ISL_429662	Siaya	6	"469,058"	"157,101"	28.08	01/03/2011
A/Kenya/CDC-Siaya/037/2011_28-Feb-2011	EPI_ISL_429704	Siaya	6	"435,508"	"263,340"	22.93	28/02/2011
A/Kenya/CDC-Siaya/038/2011_07-Mar-2011	EPI_ISL_429801	Siaya	6	"445,075"	"394,407"	21.09	07/03/2011
A/Kenya/CDC-Siaya/039/2011_10-Mar-2011	EPI_ISL_429804	Siaya	6	"1,318,841"	"1,248,668"	22.13	10/03/2011
A/Kenya/CDC-Siaya/040/2011_11-Mar-2011	EPI_ISL_429823	Siaya	6	"459,167"	"399,434"	26.13	11/03/2011
A/Kenya/CDC-Siaya/041/2011_11-Mar-2011	EPI_ISL_429824	Siaya	6	"503,606"	"378,273"	21.28	11/03/2011
A/Kenya/CDC-Siaya/042/2011_11-Mar-2011	EPI_ISL_429825	Siaya	6	"413,020"	"267,216"	34.62	11/03/2011
A/Kenya/CDC-Siaya/043/2011_13-Apr-2011	EPI_ISL_429826	Siaya	7	"501,060"	"140,456"	26.47	13/04/2011
A/Kenya/CDC-Siaya/044/2011_07-Nov-2011	EPI_ISL_429827	Siaya	6	"875,890"	"815,001"	17.44	07/11/2011
A/Kenya/CDC-Siaya/045/2011_10-Nov-2011	EPI_ISL_429828	Siaya	6	"420,488"	"395,777"	22.81	10/11/2011
A/Kenya/CDC-Siaya/047/2013_04-Feb-2013	EPI_ISL_429829	Siaya	6C	"1,276,097"	"1,214,482"	25.38	04/02/2013
A/Kenya/CDC-Siaya/048/2013_07-Feb-2013	EPI_ISL_429830	Siaya	6C	"774,380"	"745,384"	21.43	07/02/2013
A/Kenya/CDC-Siaya/049/2013_27-Feb-2013	EPI_ISL_429832	Siaya	6C	"751,855"	"638,547"	21.07	27/02/2013
A/Kenya/CDC-Siaya/050/2011_14-Mar-2011	EPI_ISL_429833	Siaya	6	"307,921"	"151,863"	29.67	14/03/2011
A/Kenya/CDC-Siaya/051/2011_14-Mar-2011	EPI_ISL_429834	Siaya	6	"393,999"	"338,043"	23.28	14/03/2011
